#* Remote control CODEs captured on ESP IR receiver with dump NEC enabled
# Button names starting with "??" are not on remote, but remote behavior reflects it
# Pawelo, 20241219, Capturing Apple TV and Smart TV remote codes
# Pawelo, 20241220, Capturing LG TV, Yamaha AV and Yamaha BD remote codes
# Pawelo, 20241220, Capturing CREATIVE remote codes

Remote Model,Button,CODE sent by remote
Yamaha A810 (RAV447) - Main ZONE,SCENE_RADIO,Received NEC: address=0x857A, command=0x7609 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,ON_SCREEN,Received NEC: address=0x857A, command=0x7B84 command_repeats=1, not working on zone 2
Yamaha A810 (RAV447) - Main ZONE,OPTION,Received NEC: address=0x857A, command=0x146B command_repeats=1, not working on zone 2
Yamaha A810 (RAV447) - Main ZONE,UP,Received NEC: address=0x857A, command=0x629D command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,DOWN,Received NEC: address=0x857A, command=0x639C command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,LEFT,Received NEC: address=0x857A, command=0x609F command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,RIGHT,Received NEC: address=0x857A, command=0x619E command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,ENTER,Received NEC: address=0x857A, command=0x21DE command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,?? OK,Received NEC: address=0x857A, command=0x21DE command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,RETURN,Received NEC: address=0x857A, command=0x55AA command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,DISPLAY,Received NEC: address=0x017F, command=0x9F60 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,TOP_MENU,Received NEC: address=0x857A, command=0xDFA0 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,POPUP_MENU,Received NEC: address=0x857A, command=0xDBA4 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,VOLUMEUP,Received NEC: address=0x857A, command=0xE51A command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,VOLUMEDOWN,Received NEC: address=0x857A, command=0xE41B command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,MUTE,Received NEC: address=0x857A, command=0xE31C command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,MODE,Received NEC: address=0x017F, command=0x9966 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,STOP,Received NEC: address=0x017F, command=0x9669 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,PAUSE,Received NEC: address=0x017F, command=0x9867 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,PLAY,Received NEC: address=0x017F, command=0x9768 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,REWIND,Received NEC: address=0x017F, command=0x956A command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,FORWARD,Received NEC: address=0x017F, command=0x946B command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,SKIPBACK,Received NEC: address=0x017F, command=0x936C command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,SKIPFORWARD,Received NEC: address=0x017F, command=0x926D command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,1,Received NEC: address=0x017F, command=0xAE51 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,2,Received NEC: address=0x017F, command=0xAD52 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,3,Received NEC: address=0x017F, command=0xAC53 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,4,Received NEC: address=0x017F, command=0xAB54 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,5,Received NEC: address=0x017F, command=0xAA55 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,6,Received NEC: address=0x017F, command=0xA956 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,7,Received NEC: address=0x017F, command=0xA857 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,8,Received NEC: address=0x017F, command=0xA758 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,9,Received NEC: address=0x017F, command=0xA659 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,0,Received NEC: address=0x017F, command=0xA55A command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,PLUS_10,Received NEC: address=0x017F, command=0xA45B command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,ENT,Received NEC: address=0x017F, command=0xA35C command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,HDMI_OUT,NEC: address=0x857A, command=0xCA35 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,POWER,Received NEC: address=0x857A, command=0x3A45 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,HDMI1,Received NEC: address=0x857A, command=0x3748 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,HDMI2,Received NEC: address=0x857A, command=0x344B command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,HDMI3,Received NEC: address=0x857A, command=0x314E command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,HDMI4,Received NEC: address=0x857A, command=0x2E51 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,HDMI5,Received NEC: address=0x857A, command=0x0E71 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,HDMI6,Received NEC: address=0x857A, command=0x0B74 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,HDMI7,Received NEC: address=0x857A, command=0xE699 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,V_AUX,Received NEC: address=0x857A, command=0x27D8 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,AV1,Received NEC: address=0x857A, command=0x2B54 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,AV2,Received NEC: address=0x857A, command=0x2857 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,AV3,Received NEC: address=0x857A, command=0x255A command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,AV4,Received NEC: address=0x857A, command=0x225D command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,AV5,Received NEC: address=0x857A, command=0x1F60 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,AV6,Received NEC: address=0x857A, command=0x1C63 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,AUDIO,Received NEC: address=0x857A, command=0xE39C command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,DOCK,Received NEC: address=0x017F, command=0xB44B command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,TUNER,Received NEC: address=0x857A, command=0x2DD2 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,PHONO,Received NEC: address=0x857A, command=0x2FD0 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,NET,Received NEC: address=0x017F, command=0xBF40 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,USB,Received NEC: address=0x017F, command=0x0C73 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,FM,Received NEC: address=0x017F, command=0x2659 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,AM,Received NEC: address=0x017F, command=0x2956 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,INFO,Received NEC: address=0x857A, command=0x5728 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,MEMORY,Received NEC: address=0x017F, command=0x1768 command_repeats=1
